Operating band,"Fstep,1(GHz)","Fstep,2(GHz)","Fstep,3(GHz)","Fstep,4(GHz)","Fstep,5(GHz)","Fstep,6(GHz)"
n257,18,23.5,25,31,32.5,41.5
n258,18,21,22.75,29,30.75,40.5
n259,23.5,35.5,38,45,47.5,59.5
n260,25,34,35.5,41.5,43,52
n261,18,25.5,26.0,29.85,30.35,38.35
n262,37.2,45.2,45.7,49.7,50.2,58.2
n263,18,43,53.5,74.5,85,127
