Number of,Number of,Cyclic Prefix,Propagation,Channel bandwidth / SNR (dB),,
TX antennas,RX antennas,,conditions and correlation matrix (Annex G),5 MHz,10 MHz,20 MHz
,2,Normal,TDLC300-100 Low,5.8,5.6,5.9
1,4,Normal,TDLC300-100 Low,0.4,0.5,0.3
,8,Normal,TDLC300-100 Low,-3.5,-3.5,-3.5
