SCS (kHz),100 MHz,400 MHz,800 MHz,1600 MHz,2000 MHz
,NRB,NRB,NRB,NRB,NRB
120,66,264,N/A,N/A,N/A
480,N/A,66,124,248,N/A
960,N/A,33,62,124,148
