Number of TX antennas,Number of RX antennas,Cyclic prefix,Channel Bandwidth [MHz],SCS [kHz],Propagation conditions and correlation matrix (Annex G),FRC(Annex A),SNR[dB]
1,2,Normal,50,60,TDLA30-300 low,G-FR2-A3-25,8. 7
,,,100,120,TDLA30-300 low,G-FR2-A3-26,8. 3
