SBFD UL subband bandwidth (MHz),Wanted signal mean power (dBm) (NOTE 1),Interfering signal mean power (dBm)(NOTE 5),SBFD UD/UD or DUD case,Interfering signal centre frequency/frequencies,"Type of interfering signal(s)（NOTE 2, 3, 4）"
"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90",PREFSENS + 6 dB,Wide Area BS: -28Medium Range BS: -32Local Area BS: -34,DU or UD,"FC,SBFD,DL","CP-OFDM NR signal30 kHz SCS, BW = X (in the unit of RB)"
,,,DUD,"FC,SBFD,DL,1FC,SBFD,DL,2","CP-OFDM NR signal30 kHz SCS, BW1 = X1 and BW2 = X2 (in the unit of RB)"
"NOTE 1:PREFSENS depends on the SBFD UL subband bandwidth as specified in clause 12.3.2. NOTE 2:   For DU or UD case, interfering signal is placed at FC,SBFD,DL. For DUD case, two interfering signals are placed at FC,SBFD,DL,1 and FC,SBFD,DL,2, respectively, interfering signal mean power is the total power of the two interfering signals and the two interfering signals have the same power density.NOTE 3:   For DU or UD case, X is the largest transmission bandwidth configuration as specified in table 5.3.2-1 that is not larger than NRB, SBFD, DL. For DUD case, X1 is the largest transmission bandwidth configuration as specified in table 5.3.2-1 that is not larger than NRB, SBFD, DL,1 and X2 is the largest transmission bandwidth configuration as specified in table 5.3.2-1 that is not larger than NRB, SBFD, DL,2.NOTE 4:  In case the SBFD BS is configured with intra-band carrier aggregation, the set of interfering signals consists of the interfering signal(s) in this table and the signals from other intra-band contiguous carrier(s) operated in non-SBFD operation. The power spectral density of each interfering signal is set to be the same level.NOTE 5:   For FR1 WA BS, in-channel adjacent subband blocking requirement assumes 80 dBc coupling loss between interfering BS transmitter and SBFD BS receiver.",,,,,
