Numberof TX,Number of demodulation,Cyclic Prefix,Propagation conditions and,Number ofRBs,Channel bandwidth / SNR (dB)
antennas,branches,,correlation matrix (Annex G),,400 MHz
1,2,Normal,TDLA10-650 Low,1,-2.9
,,,,16,-13.8
