Reference channel,G-FR1-A4-21,G-FR1-A4-22,G-FR1-A4-23,G-FR1-A4-24
Subcarrier spacing [kHz],15,15,30,30
Allocated resource blocks,25,270,24,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12
Modulation,16QAM,16QAM,16QAM,16QAM
Code rate (Note 2),658/1024,658/1024,658/1024,658/1024
Payload size (bits),27656,303240,26632,303240
Transport block CRC (bits),24,24,24,24
Code block CRC size (bits),24,24,24,24
Number of code blocks - C,4,36,4,36
Code block size including CRC (bits) (Note 2),6944,8448,6688,8448
Total number of bits per slot,43200,466560,41472,471744
Total symbols per slot,10800,116640,10368,117936
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0 = 2 and I = 11 for PUSCH mapping type A, l0 = 0 and I= 10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
