Number of,Number of,Propagation,Frequency,Number of repetitions,SNR (dB),,
TX antennas,demodulation branches,conditions and correlation matrix (Annex G),offset,,Burst format A2,Burst format B4,Burst format C2
1,2,TDLA30-300 Low,4000 Hz,2,-7.7,-12.4,-7.7
Note: This requirement has no limitation for PRACH configuration index selection for BS conformance testing.,,,,,,,
