BS channel bandwidth (MHz),Sub-carrier spacing (kHz),Reference measurement channel,"Reference sensitivity power level, PREFSENS(dBm) (Note 6)"
"20, 30, 40, 50",15,G-FR1-A1-4 (Note 1),-94.3
"20, 30, 40, 50, 60, 70, 80, 90, 100",30,G-FR1-A1-5 (Note 1),-94.6
"20,  30, 40, 50, 60, 70, 80, 90, 100",60,G-FR1-A1-6 (Note 1),-94.7
"Note 1:PREFSENS is the power level of a single instance of the reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.",,,
