Number of,Number of,Cyclic Prefix,Propagation,Channel bandwidth / SNR (dB),,
TX antennas,RX antennas,,conditions and correlation matrix (Annex G),5 MHz,10 MHz,20 MHz
,2,Normal,TDLC-300-100 Low,-3.8,-3.6,-3.6
1,4,Normal,TDLC-300-100 Low,-8.4,-7.6,-8.4
,8,Normal,TDLC-300-100 Low,-11.8,-11.4,-11.4
