Test number,Number of Tx antennas,Number of RX antennas,Cyclic-Prefix,Propagation conditions and correlation matrix (Annex G),SNR (dB)
1,1,2,Normal,TDLA30-10 Low,-3.9
2,1,2,Normal,TDLA30-10 Low,-8.9
