Tap #,Delay (ns],Power (dB),Fading distribution
1,0,-16.1,Rayleigh
2,4,0,
3,6,-4,
4,8,-10.2,
5,16,-18.6,
6,18,-9.3,
7,22,-13.7,
8,24,-17.9,
9,26,-13.5,
10,30,-14,
11,40,-15.4,
12,44,-18.9,
13,46,-21.0,
14,48,-21.6,
15,50,-19.3,
16,96,-25.9,
