Number of TX antennas (Note 1),Number of RX antennas (Note 1),Cyclic prefix,Propagation conditions and correlation matrix (Annex G) (Note 2),,Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
,,,Tested signal,Interferers,,,,
1,2,Normal,TDLC300-100 Low,TDLC300-0 Low,70%,G-FR1-A4-15,pos1,16.4
,4,,,,,,,9.8
,8,,,,,,,6.6
Note 1:Antenna configuration applies for each of the tested signal and interferers.Note 2:The propagation conditions for the tested signal and interferers are statistically independent,,,,,,,,
