Operating Band,Frequency range,Basic limit,Measurement Bandwidth
n13,763 - 775 MHz,-46 dBm,6.25 kHz
n13,793 - 805 MHz,-46 dBm,6.25 kHz
n14,769 - 775 MHz,-46 dBm,6.25 kHz
n14,799 - 805 MHz,-46 dBm,6.25 kHz
