BS class,Frequency range,Basic limits,Measurement bandwidth,Note
Wide Area BS,"FUL,low – FUL,high",-96 dBm,100 kHz,
Medium Range BS,"FUL,low – FUL,high",-91 dBm,100 kHz,
Local Area BS,"FUL,low – FUL,high",-88 dBm,100 kHz,
"NOTE 1:For BS operating in band n104, the basic limit is increased by 1dB.NOTE 2:For BS operating in regions where a band is only partially allocated for NR operations (e.g. band n28), this requirement only applies in the UL frequency range of the partial allocation.NOTE 3:For BS capable of multi-band operation, Table 6.6.5.2.2-1 assumes that the supported operating bands, where the corresponding BS transmit and receive frequency ranges in table 5.2-1 would be overlapping, are not deployed in the same geographical area. For such a case of operation with overlapping frequency arrangements in the same geographical area, special protection requirements may apply that are not covered by the 3GPP specifications.",,,,
