Channel bandwidth [MHz],Frequency range [MHz],"Filter centre frequency, Ffilter [MHz]",Basic limit [dBm],Measurement bandwidth [MHz]
All,3430 – 34403560 – 3570,3430.5  Ffilter < 3439.53560.5  Ffilter < 3569.5,-25,1
All,3430> 3570,Ffilter < 3429.53570.5  Ffilter,-40,1
