Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,"Scenario 4-BI-NR350, FR2",70%,G-FR2-A10-1,pos0,12.9
1,2,Normal,"Scenario 4-BI-NR350, FR2",70%,"G-FR2-A10-3, G-FR2-A10-5","pos1, pos2",12.5
