Frequency range,Limit,Measurement Bandwidth
23.6 – 24 GHz,-3 dBm (Note 1),200 MHz
23.6 – 24 GHz,-9 dBm (Note 2),200 MHz
NOTE 1:This limit applies to BS brought into use on or before 1 September 2027 in countries not adopting EU Decision 2020/590 [26].NOTE 2: This limit applies to BS brought into use after 1 September 2027 or to BS in countries adopting EU Decision 2020/590 [26].,,
