Frequency range,Basic limit,Measurement Bandwidth,Note
2200 – 2345 MHz,-45 dBm,1 MHz,
2362.5 – 2365 MHz,-25 dBm,1 MHz,
2365 – 2367.5 MHz,-40 dBm,1 MHz,
2367.5 – 2370 MHz,-42 dBm,1 MHz,
2370 – 2395 MHz,-45 dBm,1 MHz,
