BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm),Type of interfering signal
10,15,G-FR1-A1-12,-100.0,-79.5,"CP-OFDM NR signal, 15 kHz SCS,10 RBs"
,30,G-FR1-A1-13,-97.7,-77.4,"CP-OFDM NR signal, 30 kHz SCS,10 RBs"
,60,G-FR1-A1-9,-93.2,-73.4,"DFT-s-OFDM NR signal, 60 kHz SCS, 5 RBs"
20,15,G-FR1-A1-14,-97.1,-76.4,"CP-OFDM NR signal, 15 kHz SCS,10 RBs"
,30,G-FR1-A1-15,-94.1,-73.4,"CP-OFDM NR signal, 30 kHz SCS,10 RBs"
,60,G-FR1-A1-9,-93.2,-73.4,"DFT-s-OFDM NR signal, 60 kHz SCS, 5 RBs"
40,15,G-FR1-A1-16,-94.0,-73.2,"CP-OFDM NR signal, 15 kHz SCS,20 RBs"
,30,G-FR1-A1-17,-91.0,-70.2,"CP-OFDM NR signal, 30 kHz SCS,10 RBs"
,60,G-FR1-A1-6,-87.7,-66.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
60,30,G-FR1-A1-18,-89.4,-68.4,"CP-OFDM NR signal, 30 kHz SCS,20 RBs"
,60,G-FR1-A1-6,-87.7,-66.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
80,30,G-FR1-A1-19,-88.1,-67.1,"CP-OFDM NR signal, 30 kHz SCS,20 RBs"
,60,G-FR1-A1-6,-87.7,-66.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
"NOTE:Wanted and interfering signal are placed adjacently around Fc, where the Fc is defined for BS channel bandwidth of the wanted signal according to the table 5.4.2.2-1. The aggregated wanted and interferer signal shall be centred in the BS channel bandwidth of the wanted signal.",,,,,
