Test,Number of,Number of,Cyclic,Propagation,Additional,Channel bandwidth / SNR (dB),,
Number,TX antennas,RX antennas,Prefix,conditions and correlation matrix (Annex G),DM-RS configuration,5 MHz,10 MHz,20 MHz
1,1,2,Normal,TDLC300-100 Low,No additional DM-RS,0.2,1.1,0.3
,,,,,Additional DM-RS,-0.1,0.5,-0.1
,,4,Normal,TDLC300-100 Low,No additional DM-RS,-3.8,-3.3,-3.8
,,,,,Additional DM-RS,-4.3,-4.0,-4.0
,,8,Normal,TDLC300-100 Low,No additional DM-RS,-7.0,-6.7,-6.9
,,,,,Additional DM-RS,-7.7,-7.5,-7.7
2,1,2,Normal,TDLC300-100 Low,No additional DM-RS,1.4,2.2,2.0
,,4,Normal,TDLC300-100 Low,No additional DM-RS,-3.1,-2.5,-2.5
,,8,Normal,TDLC300-100 Low,No additional DM-RS,-6.5,-6.0,-6.2
