Number of TX antennas,Number of RX antennas,Cyclic prefix,Channel Bandwidth [MHz],SCS [kHz],Moving propagation conditions and correlation matrix (Annex G),FRC(Annex A),SNR[dB]
1,2,Normal,50,120,Scenario Y,G-FR2-A10-7,9.1
,,,,,Scenario Y,"G-FR2-A10-9, G-FR2-A10-11",8.8
,,,200,120,Scenario Y,G-FR2-A10-8,9.0
,,,,,Scenario Y,"G-FR2-A10-10, G-FR2-A10-12",8.9
