Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of  maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,TDLA30-300 Low,70 %,G-FR2-A3-11,pos0,-1.8
,,,,,G-FR2-A3-23,pos1,-1.9
