Number of,Number of,Cyclic Prefix,Propagation,Channel bandwidth / SNR (dB),,,
TX antennas,RX antennas,,conditions and correlation matrix (Annex G),10 MHz,20 MHz,40 MHz,100 MHz
,2,Normal,TDLC300-100 Low,0.5,1.1,0.4,0.3
1,4,Normal,TDLC300-100 Low,-3.3,-2.9,-3.3,-3.4
,8,Normal,TDLC300-100 Low,-5.8,-5.8,-6.7,-5.9
