Parameter,Value
Wanted signal type,"NR single carrier, or multi-carrier, or multiple intra-band contiguously or non-contiguously aggregated carriers, with NB-IoT operation in NR in-band if supported."
Interfering signal type,"NR signal, the minimum BS channel bandwidth (BWChannel) with 15 kHz SCS of the band defined in clause 5.3.5."
Interfering signal level,"Rated total output power (Prated,t,AC) in the operating band – 30 dB"
Interfering signal centre frequency offset from the lower/upper edge of the wanted signal or edge of sub-block inside a sub-block gap,", for n=1, 2 and 3"
"NOTE 1:Interfering signal positions that are partially or completely outside of any downlink operating band of the base station are excluded from the requirement, unless the interfering signal positions fall within the frequency range of adjacent downlink operating bands in the same geographical area. In case that none of the interfering signal positions fall completely within the frequency range of the downlink operating band, TS 38.141-1 [5] provides further guidance regarding appropriate test requirements. NOTE 2:In Japan, NOTE 1 is not applied in Band n77, n78, n79.",
