Parameter,,Value,,,
,,Tested signal,Interferer 1 (Note 1),,Interferer 2 (Note 1)
Transform precoding,,Disabled,,,
"Default TDD UL-DL pattern (Note 2, Note 3)",,30 kHz SCS: XXXXXXXXUU,,,
"INR (dB, Note 4)",,N/A,9,-1,
Interference Model (Note 5),,N/A,As specified in B.9.2,,
HARQ,Maximum number of HARQ transmissions,4,N/A,,
,RV sequence,"0, 2, 3, 1",N/A,,
DM-RS,DM-RS configuration type,1,,,
,DM-RS duration,single-symbol DM-RS,,,
,Additional DM-RS position,pos1,,,
,Number of DM-RS CDM group(s) without data,2,,,
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB,,,
,DM-RS port,{0},,,
,DM-RS sequence generation,"NID0=0, nSCID =0","NID0=1, nSCID =0",,"NID0=2, nSCID =0"
Time domain resource assignment,PUSCH mapping type,"A, B",,,
,Start symbol,0,,,
,Allocation length,14,,,
Muting resource assignement,Symbol positionng,"4 for mapping type A,  2 for mapping type B",,,
,CombOffset,0,,,
Frequency domain resource assignment,RB assignment,51 PRBs on the lower edge of full applicable bandwidth in X slots and full applicable bandwidth in U slots,,,
,Frequency hopping,Disabled,,,
Code block group based PUSCH transmission,,Disabled,,,
"NOTE 1:Two explicit interferers are modelled for tests with 2, 4 or 8 RX antennasNOTE 2:   The same requirements are applicable to TDD with different UL-DL patterns.NOTE 3:   The sub-band PUSCH transmission start from the first X slot (TDD-UL-DL-ConfigCommon = ‘F’ for X slots). All symbols in X slot use sub-band PUSCH transmission NOTE 4:The respective received energy of each interferer relative to noise is defined by its associated INR value as specified in Annex B.9.1. The INR value is derived by only considering inter-site gNB-gNB interference using a link-budget method. Self-interference and intra-site inter-sector interference are not taken into account NOTE 5:All cells are time-synchronous.",,,,,
