SCS (kHz),50 MHz,100 MHz,200 MHz,400 MHz
,NRB,NRB,NRB,NRB
60,66,132,264,N/A
120,32,66,132,264
Note: The BS channel bandwidth for SBFD operation shall be no less than 100MHz.,,,,
