BS channel bandwidth of the lowest/highest carrier received (MHz),Wanted signal mean power (dBm),Interfering signal mean power (dBm),Type of interfering signals
"50, 100, 200, 400, 800, 1600, 2000",EISREFSENS + 6,"EISREFSENS_50M + 25 + ΔFR2_REFSENS (Note 2),EISREFSENS_50M + 28 + ΔFR2_REFSENS  (Note 3)",See Table 10.8.3-2
NOTE 1:EISREFSENS and EISREFSENS_50M are given in clause 10.3.3.NOTE 2:Applicable to bands defined within the frequency spectrum range of FR2-1.NOTE 3:Applicable to bands defined within the frequency spectrum range of FR2-2.,,,
