"Frequency offset of measurement filter 3dB point, f","Frequency offset of measurement filter centre frequency, f_offset","Basic limits (Note 1, 2)",Measurement bandwidth
0 MHz  f < 3 MHz,0.05 MHz  f_offset < 3.05 MHz,,100 kHz
3 MHz  f < 6 MHz,3.05 MHz  f_offset < 6.05 MHz,-15 dBm,100 kHz
6 MHz  f  fmax,6.05 MHz  f_offset < f_offsetmax,-13 dBm,1 MHz
"NOTE 1:For a BS supporting non-contiguous spectrum operation within any operating band, the emission limits within sub-block gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks on each side of the sub-block gap. Exception is f ≥ 6MHz from both adjacent sub-blocks on each side of the sub-block gap, where the emission limits within sub-block gaps shall be -13 dBm/100 kHz.NOTE 2:For a multi-band connector with Inter RF Bandwidth gap < 2*ΔfOBUE the emission limits within the Inter RF Bandwidth gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks or RF Bandwidth on each side of the Inter RF Bandwidth gap.",,,
