Parameter,Test
Number of UCI information bits,1
Number of PRBs,1
Number of PUCCH symbols(nrofSymobls),2
Number of sub-slot PUCCH repetitions(nrofSlots),2
Number of Sub-slot symbols(subslotLengthForPUCCH-r16),7
First symbol of sub-slot (startingSymbolIndex),5
First PRB prior to frequency hopping,0
First PRB after frequency hopping,The largest PRB index – (Number of PRBs – 1)
Intra-slot frequency hopping,disabled
Inter-slot frequency hopping,enabled
Group and sequence hopping,neither
Hopping ID,0
Initial cyclic shift,0
