Test Number,Number of TX antennas,Number of demodulation branches,Cyclic Prefix,Propagation conditions and correlation matrix,Additional DMRS configuration,Channel Bandwidth / SNR (dB),
,,,,(Annex G),,50 MHz,100 MHz
1,1,2,Normal,TDLA30-300 Low,No additional DM-RS,1.6,0.7
,,,,,Additional DM-RS,1.3,0.9
2,1,2,Normal,TDLA30-300 Low,No additional DM-RS,3.0,2.4
