BS channel bandwidth of the lowest/highest carrier received (MHz),Wanted signal mean power (dBm) (Note 2),Interfering signal mean power (dBm),Interfering signal centre frequency minimum offset from the lower/upper Base Station RF Bandwidth edge or sub-block edge inside a sub-block gap (MHz),Type of interfering signal
3,PREFSENS + x dB,Wide Area BS: -43Medium Range BS: -38Local Area BS: -35,±4.5,"3 MHz DFT-s-OFDM NR signal15 kHz SCS, 15 RBs"
"5, 7, 10, 15, 20",PREFSENS + x dB,Wide Area BS: -43Medium Range BS: -38Local Area BS: -35,±7.5,"5 MHz DFT-s-OFDM NR signal15 kHz SCS, 25 RBs"
"25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",PREFSENS + x dB,Wide Area BS: -43Medium Range BS: -38Local Area BS: -35,±30,"20 MHz DFT-s-OFDM NR signal15 kHz SCS, 100 RBs"
"NOTE 1:PREFSENS depends on the RAT. For NR, PREFSENS depends also on the BS channel bandwidth as specified in tables 7.2.2-1, 7.2.2-2 and 7.2.2-3. For band n104, PREFSENS depends on the BS channel bandwidth as specified in tables 7.2.2-1a, 7.2.2-2c, and 7.2.2-3c. For NB-IoT, PREFSENS depends also on the sub-carrier spacing as specified in tables 7.2.1-5, 7.2.1-5a and 7.2.1-5c of TS 36.104 [13].NOTE 2:For a BS capable of single band operation only, ""x"" is equal to 6 dB. For a BS capable of multi-band operation, ""x"" is equal to 6 dB in case of interfering signals that are in the in-band blocking frequency range of the operating band where the wanted signal is present or in the in-band blocking frequency range of an adjacent or overlapping operating band. For other in-band blocking frequency ranges of the interfering signal for the supported operating bands, ""x"" is equal to 1.4 dB.",,,,
