Config,Description
1,"LTE FDDNR with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
2,"LTE TDDNR with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
