Config,Description
1,"With CCA: NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE 1:VoidNOTE 2: The UE supporting SA operation with only NR band(s) with shared spectrum access is required to be tested.,
