Config,Description
1,"NR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeNR cell without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"NR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeNR cell without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"NR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeNR cell without CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurations,
