Configuration,Description
1,"NR with CCA 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode, LTE FDD"
2,"NR with CCA 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode, LTE TDD"
NOTE:The UE is only required to be tested in one of the supported test configurations,
