Config,Description
1,"With CCA: NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurations.NOTE 2:A UE which fulfils the requirements in test case A.11.4.5.2.1 can skip the test cases in A.11.4.5.2.2.NOTE 3:The UE supporting SA operation with only NR band(s) with shared spectrum access is required to be tested.,
