UL/DLConfiguration,slot n,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,4,4,4,4,,,,,,,4,4,4,4,,
1,,,,,"6,5","5,4",4,4,,,,,,,"6,5","5,4",4,4,,
2,,,,,"8,7,12,11","7,6,5,4",,,,,,,,,"8,7,12,11","7,6,5,4",,,,
3,,,,,"14,13,12","12,11,10","10,9","9,8","8,7","7,6",,,,,,,,,,
4,,,,,"16,15,14,13","13,12,11,10","10,9,8,7","7,6,5,4",,,,,,,,,,,,
5,,,,,"18,17,16,15,14,13,12,22,21","12,11,10,9,8,7,6,5,4",,,,,,,,,,,,,,
6,,,,,6,6,6,6,6,6,,,,,4,4,4,4,,
