SR configuration Index,SR periodicity (number of subslots),SR subslot offset
0,1,
1 – 2,2,
3 – 5,3,
6 – 9,4,
10 – 14,5,
15 – 20,6,
21 – 32,12,
33 – 62,30,
63 – 122,60,
