HARQ-ACK(0),HARQ-ACK(1),HARQ-ACK(2),,
ACK,ACK,ACK,,"1,1"
ACK,NACK/DTX,ACK,,"1,0"
NACK/DTX,ACK,ACK,,"0,1"
NACK/DTX,NACK/DTX,ACK,,"1,1"
ACK,ACK,NACK/DTX,,"1,1"
ACK,NACK/DTX,NACK/DTX,,"1,0"
NACK/DTX,ACK,NACK/DTX,,"0,1"
NACK/DTX,NACK/DTX,NACK,,"0,0"
NACK,NACK/DTX,DTX,,"0,0"
NACK/DTX,NACK,DTX,,"0,0"
DTX,DTX,DTX,No Transmission,
