HARQ-ACK(0),HARQ-ACK(1),
NACK,NACK,The 1st PUCCH resource value configured by the higher layers for the indicated PUCCH resource group
ACK,NACK,The 2nd PUCCH resource value configured by the higher layers for the indicated PUCCH resource group
NACK,ACK,The 3rd PUCCH resource value configured by the higher layers for the indicated PUCCH resource group
ACK,ACK,The 4th PUCCH resource value configured by the higher layers for the indicated PUCCH resource group
