Parameter,NR sidelink operating band groups Note1,Minimum S-SSB_RP,,S-SSB Ês/Iot
,,dBm/SCSS-SSB,,dB
,,SCSS-SSB = 15 kHz,SCSS-SSB = 30 kHz,
,NR_CCA_FR1_I,-123,-120,-6
,NR_CCA_FR1_J,-122.5,-119.5,
NOTE 1:NR sidelink operating band groups are as defined in section 3.5 for the corresponding NR operating bands.,,,,
