Parameter,NR operating bandNote1,Minimum SSB_RP or LS-SS_RP,,SSB or LP-SS Ês/Iot
,,dBm / SCSSSB,,dB
,,SCSSSB = 15 kHz,SCSSSB = 30 kHz,
Conditions,NR operating bands in Table 5.2-1 in [18],-117,-120,-3
"NOTE 1:For NR operating band n41, n77, n78, n79 and n104, allowance ΔRLP-WUS with value specified in Table 7.3M.2-2 in [18] applies",,,,
