Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,Config 1,"1, 2",Two FR2 NR carrier frequencies is used.
Active cell,,Config 1,NR cell 1 (PCell),NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,Config 1,NR cell 2,NR cell 2 is on NR RF channel number 2.
Gap Pattern Id,,Config 1,13,As specified in clause 9.1.2-1.
Measurement gap offset,ms,Config 1,17,
Measurement gap priority,,Config 1,3,Lowest priority level
MUSIM gap #1 Pattern Id,,Config 1,0,As specified in table 9.1.10-1
MUSIM gap #1 offset,ms,Config 1,10,
MUSIM gap #1 priority,,Config 1,2,Second priority level
MUSIM gap #2 Pattern Id,,Config 1,1,As specified in table 9.1.10-1
MUSIM gap #2 offset,ms,Config 1,3,
MUSIM gap #2 priority,,Config 1,1,Highest priority level
SMTC-SSB parameters,,Config 1,SSB.3 FR2,As specified in clause A.3.10.2
offsetMO,dB,Config 1,16,Applied to NR Cell 2 measurement object
A3-Offset,dB,Config 1,-11,
Hysteresis,dB,Config 1,0,
CP length,,Config 1,Normal,
TimeToTrigger,s,Config 1,0,
Filter coefficient,,Config 1,0,L3 filtering is not used
DRX,,Config 1,OFF,DRX is not used
Time offset between serving and neighbour cells,,Config 1,3s,Synchronous cells.
T1,s,Config 1,5,
T2,s,Config 1,10.4 for PC1; 6.5 for other PC,
