Parameter,Unit,Test configuration,Value,Comment
Active cell,,1,Cell 1,Cell 1 is the PCell in NR-Multi-RTT-ProvideAssistanceData [34].
Neighbour cell,,1,Cell 2,Cell 2 is a neighbour cell in NR-Multi-RTT-ProvideAssistanceData [34].
RF Channel Number,,1,1,"For both Cell 1 and Cell 2, all signals/channels except PRS in PFL2 are allocated within this channel."
,,,2,"For both Cell 1 and Cell 2, only PRS in PFL2 is allocated within this channel."
BWchannel,MHz,1,"200: NRB,c = 132",For both RF channels
SSB configuration,,1,SSB.2 FR2,
SMTC configuration,,1,SMTC.1,
CP length,,1,Normal,
DRX,s,1,0.64,
Time offset between serving and neighbour cells,s,1,3,Synchronous cells/TRPs
Expected RSTD,s,1,3,
Expected RSTD uncertainty,s,1,5,
T1,s,1,5,
T2,s,1,20,
