Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,Config 1,1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells.
Active cell,,Config 1,NR cell 1 (PCell),Cell 1 is the PCell and the DL-AoD reference cell in the positioning assistance data.
Neighbour cell,,Config 1,NR cell 2,Cell 2 is a neighbour cell in the positioning assistance data.
PPW configuration,,Config 1,Table A.3.33-1: Reference PPW configuration,As defined in A.3.33
SMTC parameters,,Config 1,SMTC.1,As specified in clause A.3.11
SSB parameters,,Config 1,SSB.3 FR2,As specified in clause A.3.10.2
A3-Offset,dB,Config 1,-6,
Hysteresis,dB,Config 1,0,
CP length,,Config 1,Normal,
TimeToTrigger,s,Config 1,0,
Filter coefficient,,Config 1,0,L3 filtering is not used
DRX,,Config 1,OFF,DRX is not used
Time offset between serving and neighbour cells,s,"1, 2, 3",-set to the UE reported capability for receive time difference threshold if the UE reported value is < 3µs-3µs otherwise,Synchronous cells
Expected RSTD,s,"1, 2, 3",0,
Expected RSTD uncertainty,s,"1, 2, 3",Same as time offset,
T1,s,Config 1,5,
T2,ms,Config 1,10,In this test UE is configured to measure single PFL within the configured PPW.
