Parameter,,Unit,Test configuration,Cell 1,,Cell 2,
,,,,T1,T2,T1,T2
AoA setup,,,"Config 1,2,3,4,5,6,7,8,9",N/A,,Setup 1 as specified in clause A.3.15,
Beam AssumptionNote 7,,,"Config 1,2,3,4,5,6,7,8,9",N/A,,Rough,
NR RF Channel Number,,,"Config 1,2,3,4,5,6,7,8,9",1,,2,
Duplex mode,,,"Config 1,4,7",FDD,,TDD,
,,,"Config 2,3,5,6,8,9",TDD,,TDD,
TDD configuration,,,"Config 1,4,7",Not Applicable,,TDDConf.3.1,
,,,"Config 2,5,8",TDDConf.1.1,,TDDConf.3.1,
,,,"Config 3,6,9",TDDConf.2.1,,TDDConf.3.1,
BWchannel,,MHz,Config 1,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 2,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 3,"40: NPRB,c = 106",,"100: NPRB,c = 66",
,,,Config 4,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 5,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 6,"40: NPRB,c = 106",,"400: NPRB,c = 66",
,,,Config 7,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 8,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 9,"40: NPRB,c = 106",,"400: NPRB,c = 33",
Data PRBs allocated,,,Config 1,52,,66,
,,,Config 2,52,,66,
,,,Config 3,106,,66,
,,,Config 4,52,,66,
,,,Config 5,52,,66,
,,,Config 6,106,,66,
,,,Config 7,52,,33,
,,,Config 8,52,,33,
,,,Config 9,106,,33,
BWP BW,,MHz,Config 1,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 2,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 3,"40: NPRB,c = 106",,"100: NPRB,c = 66",
,,,Config 4,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 5,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 6,"40: NPRB,c = 106",,"400: NPRB,c = 66",
,,,Config 7,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 8,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 9,"40: NPRB,c = 106",,"400: NPRB,c = 33",
BWP configuration,Initial DL BWP,,"Config 1,2,3,4,5,6,7,8,9",DLBWP.0.1,,N/A,
,Initial UL BWP,,,ULBWP.0.1,,N/A,
,Dedicated DL BWP,,,DLBWP.1.1,,N/A,
,Dedicated UL BWP,,,ULBWP.1.1,,N/A,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,"Config 1,2,3,4,5,6,7,8,9",OP.1,,OP.1,
PDSCH Reference,,,"Config 1,4,7",SR.1.1 FDD,,-,
measurement channel,,,"Config 2,5,8",SR.1.1 TDD,,,
,,,"Config 3,6,9",SR.2.1 TDD,,,
RMSI CORESET Reference,,,"Config 1,4,7",CR.1.1 FDD,,-,
Channel,,,"Config 2,5,8",CR.1.1 TDD,,,
,,,"Config 3,6,9",CR.2.1 TDD,,,
Dedicated CORESET RMC configuration,,,"Config 1,4,7",CCR.1.1 FDD,,-,
,,,"Config 2,5,8",CCR.1.1 TDD,,,
,,,"Config 3,6,9",CCR.2.1 TDD,,,
