,"Test requirement Notes1,2,3"
SRS,SRS_RP -δ +Gmin ≤ Reported SRS-RSRP(dBm) ≤SRS_RP +δ +Gmax
"NOTE 1:SRS_RP is the equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone configured in the testNOTE 2:δ is the RSRP absolute accuracy requirement from Table 10.1.22.1.1-2, selected according to the Io used in the testNOTE 3:Gmin and Gmax are the minimum and maximum UE gain values from Table B.2.1.5.1-1, selected according to the UE power class",
