Parameter,Unit,Value,Comment
Active cell,,PCell (Cell 1),
Neighbour cell,,Cell 2,Cell to be identified.
RF Channel Number,,1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells.
SMTC configuration,,SMTC.1,
A3-Offset,dB,-11,
CP length,,Normal,
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
Gap Pattern Id,,13,
Measurement gap offset,ms,39,
Time offset between Cell 1 and Cell 2,,3 s,Synchronous cells
T1,s,0.1,
T2,s,0.2,
T3,s,5,
