Parameter,Config,Unit,Test 1,,Test 2 NOTE 3,
,,,Cell 1,Cell 2,Cell 1,Cell 2
Angle of arrival configuration according to clause A.3.15,,,NA,Setup 2b,NA,Setup 2b
Assumption for UE beamsNote 4,,,N/A,Rough,N/A,Rough
,1~3,dBm/15 kHz,"Link only, see clause A.3.7A",-90,"Link only, see clause A.3.7A",NA
,1~3,dBm/SSB SCS,,,,NA
,1~3,dB,,5,,NA
Es,1~3,dBm/SCS,,,,(Table B.2.3-2 Spherical coverage +1 dB)
SSB_RPNote1,1~3,dBm/SCS,,-76.0,,(Table B.2.3-2 Spherical coverage +1 dB)
,,,,,,
BBNote6,1~3,dB,,4.35,,-3.81
IoNote1,1~3,dBm/95.04 MHz,,-50.18,,SSB_RP+28.98
"NOTE 1:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:VoidNOTE 3:No additional noise is added by the test system in Test 2.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 6:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,
