Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,Config 1,"1, 2",Two FR2 NR carrier frequencies is used.
Active cell,,Config 1,NR Cell 1 (PCell),NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,Config 1,NR Cell 2 and 3,NR Cell 2 is on NR RF channel number 1. NR Cell 3 is on NR RF channel number 2.
Gap Pattern Id,,Config 1,14 for MG#1 (80 ms MGRP)13 for MG#2 (40 ms MGRP),As specified in clause 9.1.2-1.
Measurement gap offset,,Config 1,79 for MG#14 for MG#2,
SMTC configuration,,Config 1,SMTC.1 for MO#1SMTC.7 for MO#2,As specified in clause A.3.11
offsetMO,dB,Config 1,16,Applied to NR Cell 2 and 3 measurement object
A3-Offset,dB,Config 1,-11,
Hysteresis,dB,Config 1,0,
CP length,,Config 1,Normal,
TimeToTrigger,s,Config 1,0,
Filter coefficient,,Config 1,0,L3 filtering is not used
DRX,,Config 1,OFF,DRX is not used
Time offset between Cell 1 and Cell 2,,Config 1,3s,Cell 2 is synchronous to Cell 1
Time offset between Cell 1 and Cell 3,,Config 1,5 ms,Cell 3 is asynchronous to Cell 1
T1,s,Config 1,5.2 for UE supporting dynamicCollision-r18; 11 for UE does not support dynamicCollision-r18,
T2,s,Config 1,6.5,
