Parameter,Unit,Value
Angle of arrival configuration,,Setup 1 defined A.3.15.1
Beam assumption Note 5,,Fine
"Note1, 6",dBm/SCSNote3,-91
on CLI-RSSI measurement resource,dB,-Infinity
RSRP on CLI-RSSI measurement resource Note2,dBm/SCS,-Infinity
BB on CLI-RSSI measurement resource Note4,dB,-Infinity
Io on the whole channel BW Note2,dBm/190.08 MHz,-56.63
Io on CLI-RSSI measurement resource Note2,dBm/43.2 MHz Note3,-65.44
Io on CLI-RSSI measurement resource Note2,dBm/1.08 MHz,-81.46
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SRS_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 4:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 36.101-2 [19], and an allowance of 2 dB for UE multi-band relaxation factor ∑MBP from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 5:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation.NOTE 6:In this test Noc is transmitted in PRBs in UL subband in addition to PRBs in DL subbands.",,
