Configuration,Description
1,"FR1 cell: 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeFR2 cell: 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurations,
