Config,Description
1,"NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"NR 240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
"NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:Target NR cell has the same SCS, BW and duplex mode as NR serving cell",
