Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
AoA setup,,1,Setup 1 defined in A.3.15.1,,,
,,,,,,
Beam assumptionNote 4,,1,Rough,,Rough,
BBNote 5,dB,1,3.45,3.45,-Infinity,7.45
Note 2,dBm/15 KHz,1,-102,,,
Note 2,dBm/SCS,1,-93,,,
,,,,,,
SSB_RP,dBm/SCS,1,-89,-89,-Infinity,-85
,,,,,,
,dB,1,4,4,-Infinity,8
,dBm/95.04 MHz,1,-58.56,-58.56,-63.95,-55.38
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,
