,"Test requirement Notes1,2"
CSI-RS0,L1-SINR0-δ≤ Reported SINR(dB) ≤L1-SINR0+δ
"NOTE 1:L1-SINR0 is the equivalent SINR received by an antenna with 0 dBi gain at the centre of the quiet zone configured in the test for the CSI-RS 0 under considerationNOTE 2:δ is the SINR absolute accuracy requirement from Table 10.1.28.2.1-1, selected according to the Io used in the test",
