Config,Description
1,"120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"480 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
3,"960 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations.,
