Configuration,Description
1,"120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurations.NOTE 2:Same configuration applies to both PCell and SCell,
