Parameter,Config,Unit,CSI-RS#1,,Resource #4 in TRS resource set 1,,
,,,T1,T2,T1,T2,
Angle of arrival configuration,1,,Setup 1 according to A.3.15.1,,,,
Beam AssumptionNote 4,1,,Rough,,Rough,,
Note1,1,dBm/15 kHz,-105,,,,
Note1,1,dBm/SSB SCS,-95.97,,,,
,1,dB,0,9,0,,
CSI-RS RSRP Note2,1,dBm/SSB SCS,-95.97,-86.97,-95.97,,
Io Note2,1,dBm/95.04 MHz,-63.97,-57.47,-63.97,,
,1,dB,0,9,0,,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2: CSI-RS RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,
