Parameter,Unit,Test 1,
,,Cell 1,Cell 2
Angle of arrival configuration,,Setup 1 according to clause A.3.15.1,
Assumption for UE beamsNote 5,,Rough,
Note1,dBm/SCSNote3,-89,
PRS,dB,-5.7,-11.9
PRPNote2,dBm/SCS,-94.7,-100.9
PRS  Note 4,dB,-6,-13
IoNote 2,dBm/190.08 MHz Note3,-55.75,-55.75
"Note 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 2:PRP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves. The Io is calculated based only on the symbols in which PRS is transmitted.Note 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.Note 4:Calculation of Es/Iot includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] table 6.2.1.3-4.Note 5:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,
