Parameter,Config,Unit,Test 1,,Test 2 NOTE 3,
,,,SSB0,SSB1,SSB0,SSB1
Angle of arrival configuration,,,Setup 1 according to A.3.15.1,,Setup 1 according to A.3.15.1,
Assumption for UE beamsNote 4,,,Rough,,Rough,
,1~2,dBm/15 kHz,-100,,n.a.,
,1,dBm/SSB SCS,-91,,n.a.,
,2,,-88,,n.a.,
,1~2,dB,10,-2,n.a.,
SSB_RPNote1,1,dBm/SCS,-81,-93,As in table B.2.4-2,
,2,,-78,-90,As in table B.2.4-2,
IoNote1,1~2,dBm/95.04 MHz,-51.57,,SSB_RP+28.98,
,1~2,dB,10,-2,n.a.,
"NOTE 1:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:VoidNOTE 3:No additional noise is added by the test system in Test 2.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,
