Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
AoA setup,,"1, 2",Setup 1 defined in A.3.15.1,,,
Beam AssumptionNote 4,,"1,2",Rough,,,
BB Note 5,dB,"1, 2",-1,-6,-Infinity,-1
Note 2,dBm/15 KHz,"1, 2",-98,,,
Note 2,dBm/SCS,1,-89,,,
,,2,-86,,,
SSB_RP,dBm/SCS,1,-90,-95,-Infinity,-90
,,2,-93,-98,-Infinity,-88
,dB,"1, 2",-1,-8.54,-Infinity,-1.97
,dBm/95.04 MHz,1,-57.47,-56.9,-60.01,-56.9
,,2,-56.22,-54.39,-57.01,-54.39
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,
