Parameter,Config,Unit,Test 1,,Test 2,
,,,Cell 1,Cell 2,Cell 1,Cell 2
Angle of arrival configuration,1~2,,Setup 1 according to A.3.15.1,,Setup 1 according to A.3.15.1,
Assumption for UE beamsNote 4,1~2,,Rough,,Rough,
Note1,1,dBm/15 kHzNote4,-100,,n.a.,
,2,,,,,
Note1,1,dBm/SCSNote4,-91,,n.a.,
,2,,-88,,n.a.,
,1~2,dB,10,-2,n.a.,
Note2ÊsIot,1~2,dB,10,-2,n.a.,
SSB_RPNote2,1,dBm/SCS,-81,-93,As in table B.2.4.1-2,
,2,,-78,-90,As in table B.2.4.1-2,
IoNote2,1,dBm/95.04 MHz Note3,-51.57,-59.86,SSB_RP+28.98,
,2,,-51.57,-59.86,SSB_RP+28.98,
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SSB_RP, Es/Iot, Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,
