Parameter,Config,Unit,Test 1,
,,,SSB0,SSB1
Angle of arrival configuration,,,Setup 1 according to A.3.15.1,
Assumption for UE beamsNote 3,,,Rough,
,1~2,dBm/15 kHz,-100,
,1,dBm/SSB SCS,-91,
,2,,-88,
,1~2,dB,10,-2
SS-RSRPNote1,1,dBm/SCS,-81,-93
,2,,-78,-90
IoNote1,1~2,dBm/95.04 MHz,-51.57,-59.86
,1~2,dB,10,-2
"NOTE 1:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 3:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,
